northwest,oregon,washington,idaho,montana,wyoming,seattle,,,,,,,,,,
southwest,arizona,california,colorado,nevada,new mexico,oklahoma,texas,utah,san francisco,los angeles,denver,,,,,
midwest,illinois,indiana,iowa,kansas,michigan,minnesota,missouri,nebraska,north dakota,ohio,south dakota,wisconsin,chicago,detroit,minneapolis-st-paul ,
northeast,connecticut,maine,massachusetts,new hampshire,rhode island,vermont,new jersey,new york,pennsylvania,boston,philadelphia,,,,,
southeast,alabama,florida,georgia,kentucky,mississippi,north carolina,south carolina,tennessee,virginia,west virginia,atlanta,,,,,
west coast,california,oregon,washington,san francisco,seattle,,,,,,,,,,,
east coast,maine,new hampshire,massachusetts,rhode island,connecticut,new york,new jersey,delaware,maryland,virginia,north carolina,south carolina,georgia,florida,boston,philadelphia
canada,alberta,british columbia,manitoba,new brunswick,newfoundland and labrador,nova scotia,ontario,prince edward island,quebec,saskatchewan,,,,,,
east asia,hong kong,macau,japan,north korea,south korea,taiwan,mongolia,,,,,,,,,
south asia,afghanistan,bangladesh,bhutan,india,maldives,nepal,pakistan,sri lanka,,,,,,,,
importance,southwest,northeast,northwest,midwest,southeast,canada,east asia,south asia,,,,,,,,